model,run,loss_score,MAE,MSE,optimizer,loss,learning_rate,regularization,dropout,epochs,batch_size,model_type
mat2vec -> ael_bulk_modulus_vrh,val,15.423527399698893,15.477922439575195,605.2223510742188,Adam,huber_loss,0.01,l2,0.4,200,64,alex_net
mat2vec -> ael_bulk_modulus_vrh,test,15.359462201595306,15.605438232421875,684.5419311523438,Adam,huber_loss,0.01,l2,0.4,200,64,alex_net
oliynyk -> agl_thermal_conductivity_300K,train,4.28419115569187,4.7511491775512695,117.87532043457031,Adam,huber_loss,0.01,l2,0.4,200,32,light_alex_net
oliynyk -> agl_thermal_conductivity_300K,val,4.155883868535359,4.613212585449219,115.71068572998047,Adam,huber_loss,0.01,l2,0.4,200,32,light_alex_net
oliynyk -> agl_thermal_conductivity_300K,test,4.550823796179987,4.997953414916992,119.52649688720703,Adam,huber_loss,0.01,l2,0.4,200,32,light_alex_net
mat2vec -> Egap,train,0.13993707231617727,0.3210780620574951,0.3311529755592346,Adam,huber_loss,0.01,l2,0.4,200,64,alex_net
mat2vec -> Egap,val,0.29209445640444753,0.5163680911064148,0.7669214606285095,Adam,huber_loss,0.01,l2,0.4,200,64,alex_net
mat2vec -> Egap,test,0.3098311461936468,0.5377284288406372,0.8185661435127258,Adam,huber_loss,0.01,l2,0.4,200,64,alex_net
jarvis -> ael_bulk_modulus_vrh,train,286.470490251248,34.083621978759766,2390.638427734375,Adam,huber_loss,0.01,l2,0.4,200,64,alex_net
jarvis -> ael_bulk_modulus_vrh,val,286.79700724283856,34.486507415771484,2303.10986328125,Adam,huber_loss,0.01,l2,0.4,200,64,alex_net
jarvis -> ael_bulk_modulus_vrh,test,286.7141571044922,34.83897399902344,2397.449462890625,Adam,huber_loss,0.01,l2,0.4,200,64,alex_net
jarvis_shuffled -> agl_log10_thermal_expansion_300K,train,253.73000193120353,0.17555637657642365,0.05174491927027702,Adam,huber_loss,0.01,l2,0.4,200,64,alex_net
jarvis_shuffled -> agl_log10_thermal_expansion_300K,val,253.24129231770834,0.17065657675266266,0.05066163092851639,Adam,huber_loss,0.01,l2,0.4,200,64,alex_net
jarvis_shuffled -> agl_log10_thermal_expansion_300K,test,253.24234580993652,0.17999105155467987,0.0534818209707737,Adam,huber_loss,0.01,l2,0.4,200,64,alex_net
jarvis_shuffled -> ael_shear_modulus_vrh,train,282.99073186055136,26.232898712158203,1570.4132080078125,Adam,huber_loss,0.01,l2,0.4,200,64,alex_net
jarvis_shuffled -> ael_shear_modulus_vrh,val,283.0789048936632,27.088729858398438,1504.806640625,Adam,huber_loss,0.01,l2,0.4,200,64,alex_net
jarvis_shuffled -> ael_shear_modulus_vrh,test,282.48131370544434,26.610774993896484,1412.1763916015625,Adam,huber_loss,0.01,l2,0.4,200,64,alex_net
jarvis_shuffled -> ael_debye_temperature,train,509.60070305876604,127.5600357055664,39166.69140625,Adam,huber_loss,0.01,l2,0.4,200,64,alex_net
jarvis_shuffled -> ael_debye_temperature,val,610.6275126139323,232.7639923095703,2519857.0,Adam,huber_loss,0.01,l2,0.4,200,64,alex_net
jarvis_shuffled -> ael_debye_temperature,test,516.9159278869629,136.3763885498047,168945.390625,Adam,huber_loss,0.01,l2,0.4,200,64,alex_net
jarvis_shuffled -> ael_bulk_modulus_vrh,train,329.97338035562683,53.2065315246582,4899.3134765625,Adam,huber_loss,0.01,l2,0.4,200,64,alex_net
jarvis_shuffled -> ael_bulk_modulus_vrh,val,329.53445773654516,53.617794036865234,4608.94091796875,Adam,huber_loss,0.01,l2,0.4,200,64,alex_net
